Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work
21178612,"Sep 7, 2012, 6:13:28 PM",09/07/2012,Ride,,3262,23.4,,,FALSE,,,activities/21178612.gpx,72,,3262,3224,23400,13.2258997,,267.7780151,,5.227930069,121.9290009,21.85409927,0.031800002,,,,,,,,152.7480011,549.0924072,,,,
21346022,"Sep 9, 2012, 9:05:24 AM",09/09/2012,Ride,,1485,6.52,,,FALSE,,,activities/21346022.gpx,72,,1485,977,6520.490234,15.44620037,,39.68479919,,5.800000191,107.9540024,22.19799995,-1.370270014,,,,,,,,91.18769836,99.33577728,,,,
21353554,"Sep 9, 2012, 10:56:59 AM",09/09/2012,Ride,,1274,6.55,,,FALSE,,,activities/21353554.gpx,72,,1274,1212,6556.700195,12.94970036,,124.1240005,,5.58701992,107.9049988,19.77479935,1.330129981,,,,,,,,141.8939972,191.7527161,,,,
21360721,"Sep 9, 2012, 11:36:57 AM",09/09/2012,Ride,,3062,20.99,,,FALSE,,,activities/21360721.gpx,72,,3062,2972,20994.59961,13.16149998,,265.4920044,,5.079840183,107.9820023,160.9730072,-0.00168832,,,,,,,,155.4889984,515.2563477,,,,
21853749,"Sep 13, 2012, 6:27:38 PM",09/13/2012,Ride,,4585,33.97,,,FALSE,,,activities/21853749.gpx,72,,4585,4548,33978,16.29190063,,376.8039856,,5.641729832,119.9970016,23.9048996,0.00154982,,,,,,,,151.3150024,767.3214111,,,,
22176054,"Sep 16, 2012, 3:21:39 PM",09/16/2012,Ride,,7955,46.47,,,FALSE,,,activities/22176054.gpx,72,,7955,6435,46470.19922,17.71890068,,646.4730225,,4.042210102,176.5440063,205.7109985,-0.00554182,,,,,,,,165.5650024,,,,,
22410893,"Sep 18, 2012, 6:29:44 PM",09/18/2012,Ride,,3294,25.21,,,FALSE,,,activities/22410893.gpx,72,,3294,3294,25216.40039,17.12310028,,316.4559937,,5.525710106,146.826004,78.74069977,-0.000398197,,,,,,,,168.9880066,620.6608276,,,,
22612816,"Sep 20, 2012, 5:25:34 PM",09/20/2012,Ride,,7497,55.25,,,FALSE,,,activities/22612816.gpx,72,,7497,7367,55256.60156,17.11840057,,834.5089722,,4.055250168,176.5299988,27.44059944,-0.00879068,,,,,,,,170.0449982,1396.784546,,,,
23317134,"Sep 27, 2012, 6:20:18 PM",09/27/2012,Ride,,3759,22.58,,,FALSE,,,activities/23317134.gpx,72,,3759,3300,22585.80078,18.12689972,,302.644989,,5.471789837,107.8499985,30.32620049,-0.0124134,,,,,,,,157.2890015,578.744873,,,,
23568608,"Sep 30, 2012, 7:28:21 AM",09/30/2012,Ride,,14628,79.61,,,FALSE,,,activities/23568608.gpx,72,,14628,11622,79614,19.98360062,,1075.290039,,3.130579948,156.871994,25.7765007,0.00393245,,,,,,,,144.9609985,1878.481445,,,,
24231753,"Oct 7, 2012, 7:43:14 AM",07/10/2012,Ride,,3913,29.33,,,FALSE,,,activities/24231753.gpx,72,,3913,3794,29330.69922,13.37959957,,331.1159973,,5.038949966,107.9700012,26.97900009,0.00113016,,,,,,,,171.9109955,,,,,
25215714,"Oct 14, 2012, 7:47:20 AM",10/14/2012,Ride,,10311,55.37,,,FALSE,,,activities/25215714.gpx,72,,10311,7825,55372.19922,18.46680069,,762.9210205,,4.530020237,156.7929993,15.9382,-0.00253202,,,,,,,,157.0119934,1369.910034,,,,
25641979,"Oct 21, 2012, 7:17:59 AM",21/10/2012,Ride,,9472,54.05,,,FALSE,,,activities/25641979.gpx,72,,9472,8005,54052,18.67469978,,744.3109741,,4.716619968,156.6970062,37.4341011,0.016788401,,,,,,,,144.1829987,1286.916138,,,,
26287089,"Oct 28, 2012, 8:22:42 AM",28/10/2012,Ride,,9060,57.55,,,FALSE,,,activities/26287089.gpx,72,,9060,7976,57555.89844,19.07080078,,797.2890015,,4.089759827,156.7039948,26.65730095,0.0125286,,,,,,,,162.647995,1446.467651,,,,
26886606,"Nov 4, 2012, 8:29:45 AM",04/11/2012,Ride,,10810,59.01,,,FALSE,,,activities/26886606.gpx,72,,10810,7966,59009.39844,17.49500084,,814.572998,,4.00372982,156.6269989,28.22929955,0.000144615,,,,,,,,169.9429932,1509.448975,,,,
28215635,"Nov 18, 2012, 8:13:24 AM",18/11/2012,Ride,,11208,58.26,,,FALSE,,,activities/28215635.gpx,72,,11208,8767,58266.89844,16.59269905,,745.9130249,,4.760240078,156.8190002,293.4869995,-0.00019744,,,,,,,,132.7940063,1298.088623,,,,
56817267,"May 28, 2013, 6:33:57 PM",28/05/2013,Ride,,3597,22.25,,,FALSE,,,activities/56817267.gpx,72,,3597,3305,22254.80078,14.80000019,,295.4949951,,5.199999809,107.9000015,41,0.024713799,,,,,,,,149.7489929,551.8363037,,,,
58200575,"Jun 4, 2013, 5:54:00 PM",Evening Ride,Ride,,4130,29.31,,,FALSE,,,activities/58200575.gpx,72,,4130,4041,29309.69922,13.39999962,,337.2430115,,5.199999809,108,61,0.00545894,,,,,,,,157.6309967,710.2403564,,,,
59301828,"Jun 9, 2013, 5:34:59 PM",Evening Ride,Ride,,3983,28.93,,,FALSE,,,activities/59301828.gpx,72,,3983,3983,28933.19922,13,,323.1749878,,5,108,53,0.00552998,,,,,,,,156.0879974,693.1938477,,,,
59943513,"Jun 10, 2013, 5:27:38 PM",Evening Ride,Ride,,8846,7.01,,,FALSE,,,activities/59943513.gpx,72,,8846,1951,7014.899902,13.10000038,,119.6060028,,22.5,107.9000015,46.59999847,1.03350997,,,,,,,,83.67250061,182.0182343,,,,
59964760,"Jun 12, 2013, 5:44:44 PM",Evening Ride,Ride,,5361,8.55,,,FALSE,,,activities/59964760.gpx,72,,5361,2319,8554.099609,14.69999981,,150.7109985,,4.800000191,108,38.90000153,1.008870006,,,,,,,,92.18650055,238.3652496,,,,
60128021,"Jun 13, 2013, 5:19:31 PM",Evening Ride,Ride,,1264,6.55,,,FALSE,,,activities/60128021.gpx,72,,1264,1145,6549,11.80000019,,125.6880035,,5.599999905,108,34.79999924,1.346770048,,,,,,,,152.5180054,194.7159119,,,,
60141001,"Jun 13, 2013, 6:01:03 PM",Evening Ride,Ride,,3007,21.23,,,FALSE,,,activities/60141001.gpx,72,,3007,3007,21233.40039,13.39999962,,282.7919922,,5.099999905,108,43.90000153,0.0127158,,,,,,,,160.4649963,,,,,
60226860,"Jun 14, 2013, 5:06:40 AM",Morning Ride,Ride,,823,6,,,FALSE,,,activities/60226860.gpx,72,,823,823,6000,13.60000038,,25.25650024,,5.800000191,107.9000015,31.89999962,-1.393329978,,,,,,,,95.59660339,87.72373962,,,,
60627616,"Jun 16, 2013, 5:47:17 AM",Morning Ride,Ride,,4115,29.35,,,FALSE,,,activities/60627616.gpx,72,,4115,4083,29356.40039,13.19999981,,347.8959961,,5.199999809,107.9000015,28.29999924,-0.00681282,,,,,,,,151.5339966,689.8653564,,,,
60990610,"Jun 17, 2013, 5:42:20 PM",Evening Ride,Ride,,6118,42.06,,,FALSE,,,activities/60990610.gpx,72,,6118,5909,42060.30078,16.5,,606.4949951,,5.099999905,151.6000061,50,-0.00142652,,,,,,,,162.8659973,1073.04834,,,,
61475810,"Jun 19, 2013, 5:22:02 PM",Evening Ride,Ride,,2711,21.12,,,FALSE,,,activities/61475810.gpx,72,,2711,2711,21126.30078,13.39999962,,271.776001,,5,107.9000015,39.20000076,-0.000473344,,,,,,,,185.9290009,562.0196533,,,,
61939695,"Jun 21, 2013, 6:14:16 PM",Solstice Ride,Ride,,6646,48.2,,,FALSE,,,activities/61939695.gpx,72,,6646,6646,48207.69922,18.79999924,,706.2739868,,4.800000191,147,55.40000153,-0.00165949,,,,,,,,157.4660034,1166.868774,,,,
62287965,"Jun 23, 2013, 7:58:07 AM",Morning Ride,Ride,,18397,98.4,,,FALSE,,,activities/62287965.gpx,72,,18397,14114,98406.5,18,,1219.319946,,4.400000095,149.1000061,53.59999847,-0.000203239,,,,,,,,134.2409973,2112.56543,,,,
63032053,"Jun 26, 2013, 5:56:44 PM",Evening Ride,Ride,,3700,29.25,,,FALSE,,,activities/63032053.gpx,72,,3700,3666,29249,13.5,,337.5979919,,5.199999809,107.9000015,42.90000153,0.00991487,,,,,,,,184.8840027,,,,,
63421457,"Jun 28, 2013, 6:11:56 PM",Evening Ride,Ride,,3819,29.33,,,FALSE,,,activities/63421457.gpx,72,,3819,3800,29329.80078,16,,336.7730103,,5.199999809,108,38.29999924,0.0006819,,,,,,,,173.5590057,735.3695068,,,,
63740043,"Jun 30, 2013, 9:16:13 AM",Morning Ride,Ride,,5147,32.26,,,FALSE,,,activities/63740043.gpx,72,,5147,4619,32263.09961,18.89999962,,543.0209961,,4.699999809,115.5999985,48.79999924,0.249201,,,,,,,,176.0800018,906.8446045,,,,
63740048,"Jun 30, 2013, 7:50:35 AM",Morning Ride,Ride,,3457,24.61,,,FALSE,,,activities/63740048.gpx,72,,3457,3360,24615.59961,18.10000038,,213.7940063,,5.099999905,156.8000031,32,-0.369684011,,,,,,,,133.7960052,501.2533264,,,,
